,Listing Type,Address,Prices,Lat,Lon,Zip,Sq Ft,Beds,Baths,Price per Square Foot
4382,For Sale,"6876 Brentwood Ct in Scenic Heights, Arvada, 80004",899000.0,39.821188,-105.089479,80004.0,4193.0,5.0,5,214.4049606487002
4383,For Sale,"5907 Estes Ct in Alta Vista Area, Arvada, 80004",550000.0,39.804092,-105.09674,80004.0,2103.0,4.0,2,261.5311459819306
4384,For Sale,"9105 Oberon Rd Apt 3 in Scenic Heights, Arvada, 80004",255000.0,39.811574,-105.098979,80004.0,1575.0,3.0,3,161.9047619047619
4385,For Sale,"12452 W 65th Ave in Northwest Arvada, Arvada, 80004",350000.0,39.814988,-105.139558,80004.0,2100.0,5.0,2,166.66666666666666
4386,For Sale,"7025 Kipling St in Northwest Arvada, Arvada, 80004",1300000.0,39.824277,-105.110373,80004.0,2978.0,4.0,3,436.53458697112154
4387,For Sale,"7860 Oak St in Oberon Acres, Arvada, 80005",561000.0,39.839821,-105.119133,80005.0,2738.0,3.0,4,204.89408327246164
4388,For Sale,"12933 W 80th Pl in Alkire Estates, Arvada, 80005",1295000.0,39.842737,-105.143878,80005.0,5955.0,5.0,5,217.46431570109152
4389,For Sale,"12996 W 81st Pl in Cameo Estates, Arvada, 80005",1275000.0,39.844889,-105.145014,80005.0,7174.0,3.0,5,177.72511848341233
4390,For Sale,"8422 Yarrow Ct in Westree, Arvada, 80005",440000.0,39.849184,-105.08333,80005.0,2125.0,4.0,2,207.05882352941177
4391,For Sale,"13145 W 85th Pl in Landing At Standley Lake, Arvada, 80005",500000.0,39.851439,-105.147069,80005.0,2410.0,5.0,3,207.4688796680498
4392,For Sale,"8235 Miller Ct in Lakecrest, Arvada, 80005",389900.0,39.848649,-105.113672,80005.0,1843.0,3.0,2,211.55724362452523
4393,For Sale,"13977 W 84th Cir Unit C in Haskin Park at Village of Five Parks, Arvada, 80005",350000.0,39.849335,-105.157086,80005.0,1276.0,2.0,2,274.294670846395
4394,For Sale,"7904 Flower St Unit B in Sunstream Condominiums South, Arvada, 80005",389000.0,39.841145,-105.098019,80005.0,2919.0,3.0,4,133.26481671805413
4395,For Sale,"13829 W 76th Ave, Arvada, 80005",435000.0,39.834141,-105.155363,80005.0,2001.0,3.0,2,217.3913043478261
4396,For Sale,"8485 Everett Way Unit A, Arvada, 80005",275000.0,39.851201,-105.09996,80005.0,890.0,2.0,1,308.9887640449438
4397,For Sale,"7730 W 87th Dr Apt C in Mountain Vista Village, Arvada, 80005",196500.0,39.854002,-105.085003,80005.0,723.0,1.0,1,271.7842323651452
